device_name,dispositivo_id
HONOR BRP-NX3,1
HONOR CLK-LX3,2
HONOR DNY-NX9,3
HONOR JDY-LX3P,4
HONOR WDY-LX3,5
HUAWEI CLT-L29,6
POCO 22101320G,7
POCO 2312FPCA6G,8
POCO M2007J20CG,9
REDMI 21061119AG,10
REDMI 21091116UG,11
REDMI 2201116TG,12
REDMI 2201117SG,13
REDMI 2201117SL,14
REDMI 2201117TG,15
REDMI 220333QAG,16
REDMI 2209116AG,17
REDMI 23106RN0DA,18
REDMI 24116RACCG,19
REDMI 25028RN03L,20
REDMI M2003J15SC,21
REDMI M2006C3MNG,22
REDMI M2012K10C,23
REDMI M2101K6G,24
REDMI Redmi Note 8 Pro,25
REDMI Redmi Note 9 Pro,26
REDMI Redmi Note 9S,27
SAMSUNG SM-A035M,28
SAMSUNG SM-A127M,29
SAMSUNG SM-A207M,30
SAMSUNG SM-A217M,31
SAMSUNG SM-A260G,32
SAMSUNG SM-A505U1,33
SAMSUNG SM-A525M,34
SAMSUNG SM-A546E,35
SAMSUNG SM-A556E,36
SAMSUNG SM-G960U,37
SAMSUNG SM-S911B,38
SAMSUNG SM-S916B,39
TECNO TECNO BG6m,40
TECNO TECNO CK7n,41
TECNO TECNO KJ5,42
TECNO TECNO KL5s,43
TECNO TECNO KL7,44
TECNO TECNO LH7n,45
XIAOMI Mi 9T,46
