sector_id,zona_altitud,centro_lat,centro_lon,altitud_promedio,altitud_minima,altitud_maxima,ubicacion_id
-173981_-632111,BAJA,-17.398115,-63.211135,266.7,266.7,266.7,1
-174080_-632039,BAJA,-17.408012,-63.203973,338.7,338.7,338.7,2
-174169_-631962,BAJA,-17.416943,-63.196297,338.7,338.7,338.7,3
-174280_-631933,BAJA,-17.42807,-63.193348,338.7,338.7,338.7,4
-174371_-631883,BAJA,-17.43715,-63.188305,338.7,338.7,338.7,5
-174422_-631918,BAJA,-17.44229,-63.191822,346.0,346.0,346.0,6
-174511_-631860,BAJA,-17.451113,-63.186095,346.0,346.0,346.0,7
-174635_-631875,BAJA,-17.463587,-63.18758,346.0,346.0,346.0,8
-174713_-631862,BAJA,-17.471335,-63.18625,346.0,346.0,346.0,9
-174835_-631803,BAJA,-17.483585,-63.180312,346.0,346.0,346.0,10
-174927_-631759,BAJA,-17.492798,-63.17599,346.0,346.0,346.0,11
-175031_-631709,BAJA,-17.503164,-63.170954,356.1,356.1,356.1,12
-175083_-631689,BAJA,-17.50835,-63.168968,358.5,358.5,358.5,13
-175099_-631678,BAJA,-17.509994,-63.167848,361.0,361.0,361.0,14
-175122_-631666,BAJA,-17.512223,-63.166684,362.3,362.3,362.3,15
-175150_-631657,BAJA,-17.515032,-63.165776,362.6,362.6,362.6,16
-175167_-631650,BAJA,-17.516768,-63.165035,363.1,363.1,363.1,17
-175276_-631613,BAJA,-17.52766,-63.161387,363.1,363.1,363.1,18
-175305_-631628,BAJA,-17.530591,-63.162866,370.5,370.5,370.5,19
-175341_-631603,BAJA,-17.534177,-63.160395,368.5,368.5,368.5,20
-175461_-631837,BAJA,-17.546131,-63.183733,206.0,206.0,206.0,21
-175466_-631636,BAJA,-17.546625,-63.16362,368.5,368.5,368.5,22
-175492_-631596,BAJA,-17.549245,-63.159653,368.5,368.5,368.5,23
-175659_-631602,BAJA,-17.565988,-63.160292,368.5,368.5,368.5,24
-175660_-631614,BAJA,-17.56606,-63.161455,368.5,368.5,368.5,25
-175824_-631570,BAJA,-17.582425,-63.15707,368.5,368.5,368.5,26
-175959_-631577,BAJA,-17.59599,-63.157741,220.3,220.3,220.3,27
-176033_-631354,BAJA,-17.603377,-63.135435,385.5,385.5,385.5,28
-176034_-631357,BAJA,-17.603452,-63.135704,385.6,385.6,385.6,29
-176035_-631355,BAJA,-17.603556,-63.13556,385.6,385.6,385.6,30
-176035_-631356,BAJA,-17.603588,-63.135652,385.55,385.5,385.6,31
-176035_-631357,BAJA,-17.603513,-63.135711,385.6,385.6,385.6,32
-176035_-631361,BAJA,-17.603571,-63.136181,385.9,385.8,386.0,33
-176035_-631362,BAJA,-17.603557,-63.136218,385.9,385.8,386.0,34
-176036_-631355,BAJA,-17.603664,-63.135577,385.5,385.5,385.5,35
-176036_-631356,BAJA,-17.603664,-63.135658,385.58,385.5,385.6,36
-176036_-631357,BAJA,-17.603687,-63.13576,385.4,385.1,385.6,37
-176036_-631358,BAJA,-17.603616,-63.135835,385.6,385.6,385.6,38
-176036_-631360,BAJA,-17.60364,-63.136084,385.8,385.8,385.8,39
-176037_-631355,BAJA,-17.603711,-63.135572,385.53,385.5,385.6,40
-176037_-631356,BAJA,-17.603776,-63.135679,385.54,385.5,385.7,41
-176037_-631357,BAJA,-17.603764,-63.13571,385.57,385.5,385.7,42
-176037_-631358,BAJA,-17.603722,-63.135827,385.55,385.5,385.6,43
-176037_-631359,BAJA,-17.60374,-63.135914,385.7,385.7,385.7,44
-176037_-631365,BAJA,-17.603784,-63.136525,386.5,386.5,386.5,45
-176037_-631366,BAJA,-17.603735,-63.136678,386.1,386.1,386.1,46
-176038_-631354,BAJA,-17.603852,-63.135425,385.5,385.5,385.5,47
-176038_-631356,BAJA,-17.603821,-63.135661,385.6,385.5,385.9,48
-176039_-631355,BAJA,-17.60392,-63.135579,385.75,385.6,385.9,49
-176039_-631356,BAJA,-17.603911,-63.135607,385.9,385.9,385.9,50
-176039_-631590,BAJA,-17.603949,-63.15907,391.1,391.0,391.2,51
-176040_-631345,BAJA,-17.604089,-63.134563,384.4,384.4,384.4,52
-176040_-631355,BAJA,-17.604013,-63.135558,385.6,385.6,385.6,53
-176040_-631357,BAJA,-17.604047,-63.13573,385.5,385.5,385.5,54
-176040_-631369,BAJA,-17.604031,-63.136957,386.0,386.0,386.0,55
-176040_-631378,BAJA,-17.604023,-63.137855,386.5,386.5,386.5,56
-176040_-631380,BAJA,-17.604045,-63.138077,386.6,386.6,386.6,57
-176043_-631396,BAJA,-17.604304,-63.139636,386.4,386.4,386.4,58
-176043_-631413,BAJA,-17.604309,-63.141303,395.1,395.1,395.1,59
-176044_-631354,BAJA,-17.604405,-63.135468,386.1,386.1,386.1,60
-176045_-631407,BAJA,-17.604541,-63.140715,386.5,386.5,386.5,61
-176047_-631353,BAJA,-17.60472,-63.135311,385.5,385.5,385.5,62
-176047_-631423,BAJA,-17.604731,-63.142353,386.4,386.4,386.4,63
-176048_-631428,BAJA,-17.604855,-63.142849,388.1,388.1,388.1,64
-176048_-631481,BAJA,-17.604878,-63.148118,387.6,387.6,387.6,65
-176049_-631485,BAJA,-17.604998,-63.14859,387.4,387.4,387.4,66
-176050_-631445,BAJA,-17.605078,-63.144554,387.8,387.8,387.8,67
-176050_-631450,BAJA,-17.605093,-63.14508,386.5,386.5,386.5,68
-176050_-631483,BAJA,-17.605009,-63.148352,387.9,387.9,387.9,69
-176050_-631484,BAJA,-17.605058,-63.148483,388.9,388.8,389.0,70
-176050_-631485,BAJA,-17.605032,-63.14855,387.57,387.4,387.9,71
-176053_-631457,BAJA,-17.605334,-63.145769,388.8,388.8,388.8,72
-176055_-631473,BAJA,-17.605571,-63.14735,387.6,387.6,387.6,73
-176056_-631472,BAJA,-17.605621,-63.147216,388.5,388.5,388.5,74
-176057_-631492,BAJA,-17.605783,-63.149208,401.6,401.6,401.6,75
-176057_-631502,BAJA,-17.605771,-63.150256,388.4,388.4,388.4,76
-176059_-631491,BAJA,-17.605936,-63.149154,390.6,390.6,390.6,77
-176059_-631590,BAJA,-17.605991,-63.159008,391.5,391.5,391.5,78
-176061_-631590,BAJA,-17.606188,-63.159065,391.5,391.5,391.5,79
-176062_-631511,BAJA,-17.606243,-63.151101,389.9,389.9,389.9,80
-176064_-631523,BAJA,-17.606481,-63.152375,393.1,393.1,393.1,81
-176065_-631528,BAJA,-17.606582,-63.152804,391.2,391.2,391.2,82
-176066_-631540,BAJA,-17.606643,-63.15401,392.7,392.7,392.7,83
-176068_-631548,BAJA,-17.606817,-63.154828,391.2,391.2,391.2,84
-176069_-631546,BAJA,-17.606969,-63.154623,392.4,392.4,392.4,85
-176071_-631567,BAJA,-17.607187,-63.156741,392.4,392.4,392.4,86
-176072_-631592,BAJA,-17.607295,-63.15923,391.9,391.9,391.9,87
-176073_-631579,BAJA,-17.607366,-63.157978,393.1,393.1,393.1,88
-176074_-631591,BAJA,-17.607451,-63.159114,392.1,392.1,392.1,89
-176074_-631592,BAJA,-17.607404,-63.159261,391.8,391.8,391.8,90
-176075_-631577,BAJA,-17.607507,-63.157788,391.8,391.8,391.8,91
-176076_-631595,BAJA,-17.607672,-63.159586,391.2,391.2,391.2,92
-176116_-631596,BAJA,-17.611618,-63.159673,392.1,392.1,392.1,93
-176120_-631595,BAJA,-17.612097,-63.159531,393.2,393.2,393.2,94
-176124_-631596,BAJA,-17.612432,-63.159689,391.9,391.9,391.9,95
-176125_-631600,BAJA,-17.612563,-63.160071,392.7,392.7,392.7,96
-176127_-631589,BAJA,-17.612733,-63.158994,396.5,396.5,396.5,97
-176130_-631595,BAJA,-17.61301,-63.159526,393.5,393.5,393.5,98
-176134_-631599,BAJA,-17.613455,-63.159951,392.6,392.6,392.6,99
-176135_-631594,BAJA,-17.613539,-63.159427,392.6,392.6,392.6,100
-176146_-631594,BAJA,-17.614644,-63.159442,392.7,392.7,392.7,101
-176166_-631592,BAJA,-17.616669,-63.15929,392.5,392.5,392.5,102
-176172_-631591,BAJA,-17.617203,-63.159183,396.2,396.2,396.2,103
-176185_-631591,BAJA,-17.618583,-63.159199,392.7,392.7,392.7,104
